,Unnamed: 0,Questions,Answers,extended_answer,base_response,synonyms,synonym_responses,antonyms,antonym_responses
85,85,"Which star of ""Chalet Girl"" also appeared in ""The Treasure Seekers""?",Felicity Rose Hadley Jones,"Felicity Rose Hadley Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers."""," Felicity Jones, who played Johanna in ""Chalet Girl,"" also appeared in an adaptation of ""The Treasure Seekers"" as the character Ruth.","1. Felicity Jones, the actress who portrayed Johanna in ""Chalet Girl,"" also made an appearance in an adaptation of ""The Treasure Seekers,"" playing the role of Ruth.;2. In addition to her role as Johanna in ""Chalet Girl,"" Felicity Jones can be seen in an adaptation of ""The Treasure Seekers,"" where she plays the character Ruth.;3. Felicity Jones, who starred as Johanna in ""Chalet Girl,"" also appeared in an adaptation of ""The Treasure Seekers,"" taking on the role of Ruth.;4. The actress who played Johanna in ""Chalet Girl,"" Felicity Jones, also appeared in an adaptation of ""The Treasure Seekers,"" portraying the character Ruth.;5. In ""Chalet Girl,"" Felicity Jones played Johanna, and she also appeared in an adaptation of ""The Treasure Seekers,"" where she portrayed Ruth.",YES;YES;YES;YES;YES,"1. Felicity Jones did not appear in ""The Treasure Seekers"" as the character Ruth.;2. Johanna, played by Felicity Jones in ""Chalet Girl,"" did not appear in ""The Treasure Seekers."";3. Felicity Jones, who was in ""Chalet Girl,"" did not also appear in an adaptation of ""The Treasure Seekers."";4. In ""The Treasure Seekers,"" Felicity Jones, who played Johanna in ""Chalet Girl,"" did not portray the character Ruth.;5. Ruth, a character in ""The Treasure Seekers,"" was not played by Felicity Jones, who appeared in ""Chalet Girl.""",NO;NO;NO;NO;NO
86,86,Who currently has more store locations? Bearno's or Patxi's Chicago Pizza?,Bearno's Pizza,Bearno's Pizza currently has more store locations than Patxi's Chicago Pizza.," As of my last update, Patxi's Chicago Pizza has more store locations than Bearno's.","1. At the time of my last update, Patxi's Chicago Pizza has a greater number of store locations compared to Bearno's.;2. As of my recent data, Bearno's has fewer store locations than Patxi's Chicago Pizza.;3. In terms of store locations, Patxi's Chicago Pizza currently surpasses Bearno's.;4. According to my latest information, Bearno's has less store locations than Patxi's Chicago Pizza.;5. As of my recent check, Patxi's Chicago Pizza boasts a higher number of store locations than Bearno's.",NOT SURE;NO;NOT SURE;NO;YES,"1. Bearno's has more store locations than Patxi's Chicago Pizza, as of my last update. (This is the opposite of the given answer);2. Patxi's Chicago Pizza has fewer store locations than Bearno's, as of my last update.;3. As of my last update, Bearno's does not have more store locations than Patxi's Chicago Pizza.;4. It is not the case that Patxi's Chicago Pizza has more store locations than Bearno's, as of my last update.;5. Bearno's has an equal number of store locations as Patxi's Chicago Pizza, as of my last update. (This is not the case according to the given answer, but it is a negation in the sense that it contradicts the given answer)",NO;YES;NO;NO;NO
87,87,Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?,Southern State Parkway,"Bethpage State Parkway begins with an interchange at the Southern State Parkway, a Long Island-based limited access highway."," Bethpage State Parkway begins with an interchange at the Hempstead Turnpike (New York State Route 24), a Long Island-based limited access highway.","1. The Hempstead Turnpike (New York State Route 24) is where Bethpage State Parkway starts, marking the beginning of a Long Island-based limited access highway.;2. Bethpage State Parkway initiates at the Hempstead Turnpike (New York State Route 24), a Long Island-based highway that offers limited access.;3. The Long Island-based limited access highway known as the Hempstead Turnpike (New York State Route 24) is where Bethpage State Parkway commences.;4. The beginning of Bethpage State Parkway is found at the Hempstead Turnpike (New York State Route 24), a Long Island-based highway that is limited access.;5. At the Hempstead Turnpike (New York State Route 24), a Long Island-based limited access highway, Bethpage State Parkway starts its journey.",YES;YES;NO;YES;NO,"1. Bethpage State Parkway does not begin with an interchange at the Hempstead Turnpike (New York State Route 24).;2. The Hempstead Turnpike (New York State Route 24) is not the Long Island-based limited access highway where Bethpage State Parkway begins with an interchange.;3. There is no interchange between Bethpage State Parkway and the Hempstead Turnpike (New York State Route 24), a Long Island-based limited access highway.;4. The Long Island-based limited access highway where Bethpage State Parkway begins with an interchange is not the Hempstead Turnpike (New York State Route 24).;5. Bethpage State Parkway does not begin with an interchange at any Long Island-based limited access highway other than the Hempstead Turnpike (New York State Route 24).",YES;NO;YES;NO;YES
88,88,At what frequency the magazine publishes which ranked  Aditya Puri #24th in India's 50 Most powerful people of 2017 list?,fortnightly,The magazine publishes the list of India's 50 Most powerful people of 2017 on a fortnightly basis.," The magazine ""India Today"" publishes 12 times a year, but the specific frequency for the 2017 issue where Aditya Puri was ranked #24th in India's 50 Most powerful people is not publicly disclosed.","1. The ""India Today"" magazine, which ranked Aditya Puri #24th in India's 50 Most Powerful People of 2017, typically publishes 12 times per annum, but the exact publishing frequency for the 2017 issue remains undisclosed.;2. In the year 2017, Aditya Puri was ranked #24th in India's 50 Most Powerful People list by the ""India Today"" magazine, a publication that usually appears 12 times a year; however, the specific publishing schedule for the 2017 issue has not been made public.;3. The ""India Today"" magazine, where Aditya Puri was ranked #24th in India's 50 Most Powerful People of 2017, is a magazine that comes out 12 times a year; however, the exact publishing schedule for the 2017 issue, in which Aditya Puri was ranked, is not publicly available.;4. Aditya Puri, who was ranked #24th in India's 50 Most Powerful People of 2017 by the ""India Today"" magazine, is a publication that releases 12 times a year; yet, the specific publishing frequency for the 2017 issue, where Aditya Puri was ranked, is not disclosed.;5. The ""India Today"" magazine, which placed Aditya Puri at #24th in India's 50 Most Powerful People of 2017, is a magazine that appears 12 times a year; however, the exact publishing schedule for the 2017 issue, in which Aditya Puri was ranked, is not revealed.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,"1. The magazine ""India Today"" did not publish the issue where Aditya Puri was ranked #24th in India's 50 Most powerful people of 2017 more than 12 times.;2. The issue where Aditya Puri was ranked #24th in India's 50 Most powerful people of 2017 by the magazine ""India Today"" was not published less than 12 times.;3. The specific frequency for the issue where Aditya Puri was ranked #24th in India's 50 Most powerful people of 2017 by the magazine ""India Today"" is publicly disclosed to be less than 12 times.;4. The magazine ""India Today"" did not publish the issue where Aditya Puri was ranked #24th in India's 50 Most powerful people of 2017 less than or more than 12 times.;5. The issue where Aditya Puri was ranked #24th in India's 50 Most powerful people of 2017 by the magazine ""India Today"" was not published at a frequency other than 12 times.",YES;YES;NOT SURE;NOT SURE;NO
89,89,"Which plant genus has a longer common name, Myrtus or Eustoma?",Eustoma,Eustoma is the plant genus that has a longer common name.," The common name for the plant genus Eustoma, known as the lisianthus, is longer than Myrtus, which is commonly known as myrtle.","1. The plant genus Eustoma, commonly known as lisianthus, has a longer common name than Myrtus, which is generally referred to as myrtle.;2. The common name for Eustoma, the lisianthus, is more extensive than that of Myrtus, which is commonly called myrtle.;3. Myrtus, known as myrtle, has a shorter common name than Eustoma, which is commonly known as lisianthus.;4. The plant genus Eustoma, often called lisianthus, has a longer common name in comparison to Myrtus, which is typically called myrtle.;5. The common name for Eustoma, the lisianthus, is lengthier than that of Myrtus, which is commonly known as myrtle.",YES;YES;YES;YES;YES,"1. The common name for the plant genus Myrtus, known as myrtle, is not longer than Eustoma, which is commonly known as lisianthus.;2. Eustoma, known as lisianthus, does not have a shorter common name than Myrtus, which is commonly known as myrtle.;3. Myrtus is not named after a longer common term than Eustoma, which is commonly known as lisianthus.;4. The common name for Myrtus, myrtle, is not as long as the common name for Eustoma, lisianthus.;5. Lisianthus, the common name for Eustoma, is longer in length than the common name for Myrtus, myrtle.",NO;NO;YES;NO;NO
90,90,"Which Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua was one of eleven players to have played in the top divisions in Italy, Spain, England and Germany?",Obafemi Martins,"Obafemi Martins, the Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua, was one of eleven players to have played in the top divisions in Italy, Spain, England, and Germany."," Obafemi Martins, a Nigerian footballer currently playing for Shanghai Greenland Shenhua, is one of the eleven players to have played in the top divisions in Italy (Serie A), Spain (La Liga), England (Premier League), and Germany (Bundesliga).","1. Obafemi Martins, the Nigerian footballer at Shanghai Greenland Shenhua, is among the eleven players who have competed in the top leagues of Italy (Serie A), Spain (La Liga), England (Premier League), and Germany (Bundesliga).;2. Shanghai Greenland Shenhua's Nigerian forward, Obafemi Martins, is one of the eleven players who have played in the top divisions of Italy (Serie A), Spain (La Liga), England (Premier League), and Germany (Bundesliga).;3. Obafemi Martins, a Nigerian footballer for Shanghai Greenland Shenhua, is one of the select few who have competed in the top leagues of Italy (Serie A), Spain (La Liga), England (Premier League), and Germany (Bundesliga).;4. One of the eleven players who have played in the top divisions of Italy (Serie A), Spain (La Liga), England (Premier League), and Germany (Bundesliga) is Obafemi Martins, a Nigerian footballer currently with Shanghai Greenland Shenhua.;5. Obafemi Martins, a Nigerian footballer for Shanghai Greenland Shenhua, is one of the eleven players who have competed in the top leagues of Italy (Serie A), Spain (La Liga), England (Premier League), and Germany (Bundesliga), making him a versatile athlete.",YES;YES;YES;YES;YES,"1. Obafemi Martins, a Nigerian footballer currently playing for Shanghai Greenland Shenhua, is not one of the eleven players who have not played in the top divisions in Italy, Spain, England, and Germany.;2. Shanghai Greenland Shenhua's Obafemi Martins, a Nigerian forward, has not played in the top divisions in Italy (Serie A), Spain (La Liga), England (Premier League), and Germany (Bundesliga).;3. Obafemi Martins, a Nigerian footballer currently playing for Shanghai Greenland Shenhua, is not among the group of eleven players who have played in the top divisions in Italy, Spain, England, and Germany.;4. It is not the case that Obafemi Martins, a Nigerian footballer currently playing for Shanghai Greenland Shenhua, has played in the top divisions in Italy (Serie A), Spain (La Liga), England (Premier League), and Germany (Bundesliga).;5. The statement that Obafemi Martins, a Nigerian footballer currently playing for Shanghai Greenland Shenhua, is one of the eleven players to have played in the top divisions in Italy (Serie A), Spain (La Liga), England (Premier League), and Germany (Bundesliga) is false.",NO;YES;NO;NO;NO
91,91, Who was born first Doug Liman or Saul Metzstein?,"Douglas Eric ""Doug"" Liman","Douglas Eric ""Doug"" Liman, who was born first, is a renowned American film director and producer.", Saul Metzstein was born before Doug Liman.,"1. Saul Metzstein predates Doug Liman in terms of birth.;2. Doug Liman was born after Saul Metzstein.;3. Saul Metzstein has an earlier birth date than Doug Liman.;4. In terms of chronology, Saul Metzstein was born before Doug Liman.;5. Doug Liman was not born before Saul Metzstein.",YES;NO;YES;YES;YES,1. Doug Liman was born after Saul Metzstein.;2. Saul Metzstein's birth occurred later than Doug Liman's.;3. Doug Liman is not the one who was born before Saul Metzstein.;4. Saul Metzstein's birth preceded Doug Liman's.;5. It was not Doug Liman who was born earlier than Saul Metzstein.,NO;NO;YES;YES;YES
92,92,"Which band has more members, Kitchens of Distinction or Royal Blood?",Kitchens of Distinction,Kitchens of Distinction has more members than Royal Blood.," Royal Blood, a British rock duo, has fewer members than Kitchens of Distinction, a British indie rock band that typically consists of four members.","1. The British rock duo, Royal Blood, is composed of fewer musicians than the typical lineup of the British indie rock band, Kitchens of Distinction, which usually includes four members.;2. While Royal Blood is a two-member British rock band, Kitchens of Distinction, another British indie rock group, typically boasts a lineup of four musicians.;3. In contrast to Royal Blood, the British indie rock band Kitchens of Distinction usually features four musicians, making it a larger group.;4. Royal Blood, a British rock duo, has a smaller number of members compared to the British indie rock band Kitchens of Distinction, which typically consists of four musicians.;5. Kitchens of Distinction, a British indie rock band, has a larger membership than Royal Blood, a British rock duo.",YES;YES;YES;YES;NO,"1. Kitchens of Distinction, a British indie rock band, has more members than Royal Blood, a British rock duo.;2. Royal Blood, a British rock duo, has more members than Kitchens of Distinction typically consists of.;3. The number of members in Kitchens of Distinction is greater than the number in Royal Blood.;4. Royal Blood has a smaller member count than Kitchens of Distinction.;5. Kitchens of Distinction has a larger number of members than the two-member Royal Blood.",YES;YES;NO;YES;YES
93,93,Cistus and Stapelianthus are both forms of what?,flowering plants,Cistus and Stapelianthus are both forms of flowering plants that exhibit beautiful blossoms and add vibrant colors to gardens and landscapes., Cistus and Stapelianthus are both genera of flowering plants belonging to the Cistaceae family.,"1. Cistus and Stapelianthus are both genera of plants that belong to the Cistaceae family.;2. The genera Cistus and Stapelianthus are both members of the Cistaceae family of flowering plants.;3. Cistus and Stapelianthus are both part of the Cistaceae family, which is a family of flowering plants.;4. Both Cistus and Stapelianthus are genera within the Cistaceae family, a family of flowering plants.;5. Cistus and Stapelianthus are both genera of plants that are part of the Cistaceae family, a family of flowering plants.",YES;YES;YES;YES;YES,"1. Cistus and Stapelianthus are not both genera of flowering plants belonging to the Cistaceae family.;2. Cistus is not a genus of flowering plants belonging to the Cistaceae family, while Stapelianthus is.;3. Neither Cistus nor Stapelianthus belong to the Cistaceae family.;4. Cistus and Stapelianthus are genera of flowering plants, but they do not belong to the Cistaceae family.;5. The Cistaceae family does not include Cistus and Stapelianthus as genera of flowering plants.",YES;NO;NO;YES;NO
94,94,An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,20-Oct-80,"The U2 album, which features the song ""An Cat Dubh / Into the Heart,"" was released on 20-Oct-80."," The U2 album containing the songs ""An Cat Dubh"" and ""Into the Heart"" was released on October 25, 1983.","1. The album featuring ""An Cat Dubh"" and ""Into the Heart"" by U2 was unveiled on October 25, 1983.;2. October 25, 1983, marked the release of the U2 album that includes ""An Cat Dubh"" and ""Into the Heart"".;3. The date of release for the U2 album with ""An Cat Dubh"" and ""Into the Heart"" is October 25, 1983.;4. On October 25, 1983, the U2 album containing ""An Cat Dubh"" and ""Into the Heart"" was made available.;5. The U2 album that encompasses ""An Cat Dubh"" and ""Into the Heart"" was launched on October 25, 1983.",YES;YES;YES;NO;YES,"1. The U2 album containing the songs ""An Cat Dubh"" and ""Into the Heart"" was not released on October 25, 1983.;2. October 25, 1983, is not the date the U2 album containing the songs ""An Cat Dubh"" and ""Into the Heart"" was released.;3. The U2 album containing the songs ""An Cat Dubh"" and ""Into the Heart"" was not released on any date in October 1983.;4. The U2 album containing the songs ""An Cat Dubh"" and ""Into the Heart"" was not released on October 25.;5. The U2 album containing the songs ""An Cat Dubh"" and ""Into the Heart"" was released on a date other than October 25, 1983.",NO;YES;YES;NO;NO
95,95,What is the current position held by the Nathan Sharansky's co-author of the book The Case for Democracy?,Israeli Ambassador,The current position held by the Nathan Sharansky's co-author of the book The Case for Democracy is Israeli Ambassador.," As of my last update, Avi Gelbart, the co-author of Nathan Sharansky's book ""The Case for Democracy,"" does not currently hold a publicly known position. However, he has previously served as a senior fellow at the Foreign Policy Initiative and the Hudson Institute.","1. As of my last update, Avi Gelbart, the co-author of Nathan Sharansky's book ""The Case for Democracy,"" does not publicly hold a position at present.;2. Avi Gelbart, the co-author of Nathan Sharansky's book ""The Case for Democracy,"" is not currently known to be in a public position.;3. The co-author of Nathan Sharansky's book ""The Case for Democracy,"" Avi Gelbart, is not publicly known to be in a position at the moment.;4. As of my last update, Avi Gelbart, the co-author of Nathan Sharansky's book ""The Case for Democracy,"" is not publicly identified in a current position.;5. Avi Gelbart, the co-author of Nathan Sharansky's book ""The Case for Democracy,"" is not publicly acknowledged to be in a position as of my last update.",NO;NO;NOT SURE;NO;NOT SURE,"1. Avi Gelbart, the co-author of Nathan Sharansky's book ""The Case for Democracy,"" currently holds a publicly known position.;2. As of my last update, Avi Gelbart, the co-author of Nathan Sharansky's book ""The Case for Democracy,"" is serving as a senior fellow at the Foreign Policy Initiative and the Hudson Institute.;3. Avi Gelbart, the co-author of Nathan Sharansky's book ""The Case for Democracy,"" is not currently without a position.;4. The co-author of Nathan Sharansky's book ""The Case for Democracy,"" Avi Gelbart, is not currently without a publicly known position.;5. Avi Gelbart, the co-author of Nathan Sharansky's book ""The Case for Democracy,"" is not currently without previous service at the Foreign Policy Initiative and the Hudson Institute.",NOT SURE;YES;NOT SURE;NO;YES
96,96,What casino in Las Vegas which is now operated by MGM Resorts International was developed by William G. Bennett?,Excalibur Hotel and Casino,"The Excalibur Hotel and Casino, which is now operated by MGM Resorts International, was developed by William G. Bennett."," The Mirage, a casino in Las Vegas now operated by MGM Resorts International, was initially developed by William G. Bennett.","1. The Mirage, currently managed by MGM Resorts International, was originally built by William G. Bennett in Las Vegas.;2. William G. Bennett was the mastermind behind the development of the Mirage, a casino in Las Vegas now under MGM Resorts International's control.;3. The Mirage, a casino in Las Vegas now owned by MGM Resorts International, was initially created by William G. Bennett.;4. The Mirage, a casino in Las Vegas now operated by MGM Resorts International, was initially developed by the hands of William G. Bennett.;5. The Mirage, a casino in Las Vegas now operated by MGM Resorts International, was initially brought to life by William G. Bennett.",YES;NO;NO;YES;NO,"1. The Mirage, a casino in Las Vegas currently operated by MGM Resorts International, was not initially developed by William G. Bennett.;2. William G. Bennett did not develop The Mirage, a casino in Las Vegas now operated by MGM Resorts International.;3. The Mirage, a casino in Las Vegas now operated by MGM Resorts International, was not developed by its current operator.;4. The Mirage, a casino in Las Vegas, was developed by someone other than William G. Bennett, who is now its operator through MGM Resorts International.;5. MGM Resorts International did not initially develop The Mirage, a casino in Las Vegas, which is now under their operation.",YES;NO;YES;YES;YES
97,97,Paul DeBoy is known for an appearance in the Western action-adventure game developed by which company?,Rockstar San Diego,Paul DeBoy is known for his appearance in the Western action-adventure game developed by Rockstar San Diego.," Paul DeBoy is known for his appearance in the Western action-adventure game ""Red Dead Redemption,"" developed by Rockstar Games.","1. Paul DeBoy is recognized for his role in the Western action-adventure game ""Red Dead Redemption,"" which was created by Rockstar Games.;2. The Western action-adventure game ""Red Dead Redemption,"" developed by Rockstar Games, features Paul DeBoy's notable appearance.;3. Paul DeBoy gained fame for his presence in the Rockstar Games-developed Western action-adventure game, ""Red Dead Redemption."";4. ""Red Dead Redemption,"" a Western action-adventure game developed by Rockstar Games, showcases Paul DeBoy's significant appearance.;5. Paul DeBoy is well-known for his appearance in the game ""Red Dead Redemption,"" a Western action-adventure title developed by Rockstar Games.",NO;NO;NO;NO;NO,"1. Paul DeBoy is not known for an appearance in the Western action-adventure game ""Red Dead Redemption,"" developed by Rockstar Games.;2. ""Red Dead Redemption,"" developed by Rockstar Games, is not a game for which Paul DeBoy is known for his appearance.;3. Paul DeBoy did not appear in the Western action-adventure game ""Red Dead Redemption,"" which was developed by Rockstar Games.;4. The Western action-adventure game ""Red Dead Redemption"" was not developed by Rockstar Games for which Paul DeBoy is known for his appearance.;5. Paul DeBoy's appearance in the Western action-adventure game was not in ""Red Dead Redemption,"" which was developed by Rockstar Games.",YES;NO;YES;NO;YES
98,98,"What is the name of this New York based American investment management firm founded in 1982, whose co-CEO is Robert Mercer?",Renaissance Technologies,"Renaissance Technologies is the name of this New York based American investment management firm founded in 1982, whose co-CEO is Robert Mercer."," The New York-based investment management firm founded in 1982, whose co-CEO is Robert Mercer, is Renaissance Technologies.","1. Renaissance Technologies, founded in 1982 and headquartered in New York, is the investment management firm where Robert Mercer serves as co-CEO.;2. The investment management firm that Robert Mercer co-CEOs, Renaissance Technologies, was established in New York in 1982.;3. Robert Mercer is the co-CEO of the New York-based investment management firm, Renaissance Technologies, which was founded in 1982.;4. The investment management firm that Robert Mercer co-heads is Renaissance Technologies, a New York-based company founded in 1982.;5. Renaissance Technologies, a New York-based investment management firm, was founded in 1982, and Robert Mercer serves as its co-CEO.",YES;YES;YES;YES;YES,"1. Renaissance Technologies is not the name of the New York-based American investment management firm founded in 1982, whose co-CEO is Robert Mercer.;2. The investment management firm founded in 1982, whose co-CEO is Robert Mercer, is not Renaissance Technologies.;3. Robert Mercer's co-CEO does not work for the New York-based investment management firm founded in 1982, which is Renaissance Technologies.;4. The New York-based investment management firm founded in 1982 is not the one known as Renaissance Technologies, where Robert Mercer serves as co-CEO.;5. Renaissance Technologies is not the firm where Robert Mercer serves as co-CEO of the New York-based investment management firm founded in 1982.",YES;NO;NO;NO;NO
99,99,Are Des Moines International Airport and Grand Canyon National Park Airport both major airline hubs?,no,"No, Des Moines International Airport and Grand Canyon National Park Airport are not major airline hubs."," No, Des Moines International Airport is not a major airline hub, while Grand Canyon National Park Airport does not have commercial airline service.","1. Des Moines International Airport is not classified as a major airline hub, whereas Grand Canyon National Park Airport does not offer commercial airline services.;2. While Grand Canyon National Park Airport provides no commercial airline services, Des Moines International Airport does not qualify as a major airline hub.;3. Des Moines International Airport does not have the status of a major airline hub, in contrast to Grand Canyon National Park Airport, which does not offer commercial airline services.;4. Unlike Grand Canyon National Park Airport, which does not have commercial airline services, Des Moines International Airport is not considered a major airline hub.;5. Grand Canyon National Park Airport does not offer commercial airline services, unlike Des Moines International Airport, which is not a major airline hub.",NO;YES;NO;YES;YES,1. Des Moines International Airport is a major airline hub.;2. Grand Canyon National Park Airport has commercial airline service.;3. Both Des Moines International Airport and Grand Canyon National Park Airport are major airline hubs.;4. Des Moines International Airport has commercial airline service.;5. Grand Canyon National Park Airport is a major airline hub.,YES;NO;NO;YES;NO
100,100, The Canadian Hot 100 is a music industry record chart in Canada for for a song that is released separately from what?,an album,The Canadian Hot 100 is a music industry record chart in Canada for a song that is released separately from an album., The Canadian Hot 100 is a music industry record chart in Canada for a song that is released separately from an album.,"1. The Canadian Hot 100 is a music industry record chart in Canada for a song that is not part of an album.;2. The Canadian Hot 100 is a music industry record chart in Canada for a standalone song, not an album track.;3. The Canadian Hot 100 is a music industry record chart in Canada for a single, not a song from an album.;4. The Canadian Hot 100 is a music industry record chart in Canada for a song that is not included in an album.;5. The Canadian Hot 100 is a music industry record chart in Canada for a song that is not part of an LP.",NO;YES;YES;NO;YES,"1. The Canadian Hot 100 is a music industry record chart in Canada for a song that is released as part of an album.;2. A song released separately from an album is not the focus of the Canadian Hot 100.;3. The Canadian Hot 100 is not a music industry record chart for songs that are part of an album.;4. An album is the context for the Canadian Hot 100, not a song released separately.;5. The Canadian Hot 100 does not consider songs that are part of an album.",NO;YES;NO;YES;NO
101,101,Is Karjiang a mountain and Sherpi Kangri a mountain peak?,yes,"Yes, Karjiang is a mountain and Sherpi Kangri is a mountain peak."," Yes, Kangri is a mountain range in the Himalayas, and Sherpi Kangri is a mountain peak within the Kangri range.","1. The Kangri range, located in the Himalayas, is indeed a mountain range, and Sherpi Kangri is a mountain peak that resides within this range.;2. Kangri, a mountain range in the Himalayas, contains the mountain peak of Sherpi Kangri.;3. In the Himalayas, Kangri is a mountain range, and Sherpi Kangri is a peak that is part of this range.;4. The Kangri range, situated in the Himalayas, is a mountain range, and Sherpi Kangri is a mountain peak that is found within this range.;5. Kangri, a mountain range in the Himalayas, encompasses the mountain peak of Sherpi Kangri.",YES;YES;YES;YES;YES,1. Kangri is not a mountain range in the Himalayas.;2. Sherpi Kangri is not a mountain peak within the Kangri range.;3. Kangri is not a mountain range.;4. Sherpi Kangri is not a mountain peak.;5. The Kangri range does not include Sherpi Kangri as a mountain peak.,YES;NO;YES;NO;NO
102,102,Which one the cast members in the film Only Lovers Left Alive also played in Othello?,Tom Hiddleston,"Tom Hiddleston, one of the cast members in the film Only Lovers Left Alive, also played a role in Othello."," Tilda Swinton, who portrayed Eve in Only Lovers Left Alive, also starred as Emilia in the 1995 film adaptation of Othello.","1. Tilda Swinton, who played Eve in Only Lovers Left Alive, also took on the role of Emilia in the 1995 film adaptation of Othello.;2. In the 1995 film adaptation of Othello, Tilda Swinton, who was Eve in Only Lovers Left Alive, portrayed Emilia.;3. Tilda Swinton, the actress who portrayed Eve in Only Lovers Left Alive, also appeared as Emilia in the 1995 film version of Othello.;4. The same actress, Tilda Swinton, who played Eve in Only Lovers Left Alive, also starred as Emilia in the 1995 film adaptation of Othello.;5. Tilda Swinton, who was Eve in Only Lovers Left Alive, also starred as Emilia in the 1995 film adaptation of Othello, another role she took on.",YES;YES;YES;YES;YES,"1. Tilda Swinton, who portrayed Eve in Only Lovers Left Alive, did not also star in Othello.;2. Tilda Swinton did not also play the role of Emilia in the film adaptation of Othello.;3. In the film Only Lovers Left Alive, Tilda Swinton did not also appear as Emilia in Othello.;4. Tilda Swinton's character, Eve, in Only Lovers Left Alive was not also Emilia in the 1995 film adaptation of Othello.;5. Othello did not feature Tilda Swinton, who played Eve in Only Lovers Left Alive.",NO;YES;YES;YES;YES
103,103,"Stephen Graham starred in a film in 2006, directed by whom?",directed by Shane Meadows,The film that Stephen Graham starred in in 2006 was directed by Shane Meadows.," Stephen Graham starred in a film in 2006, directed by Martin Scorsese in the movie ""The Departed.""","1. In the movie ""The Departed,"" released in 2006, Stephen Graham was directed by Martin Scorsese.;2. Martin Scorsese was the director of Stephen Graham in the 2006 film ""The Departed."";3. Stephen Graham's 2006 film, ""The Departed,"" was directed by Martin Scorsese.;4. The director of Stephen Graham's 2006 film, ""The Departed,"" was Martin Scorsese.;5. Martin Scorsese directed Stephen Graham in the 2006 film ""The Departed,"" which was released that year.",YES;YES;YES;YES;YES,"1. Stephen Graham did not star in a film in 2006, directed by Martin Scorsese.;2. The film Stephen Graham starred in 2006 was not directed by Martin Scorsese.;3. Martin Scorsese was not the director of the film Stephen Graham starred in 2006.;4. ""The Departed"" was not the film directed by Martin Scorsese in which Stephen Graham starred in 2006.;5. Stephen Graham did not star in ""The Departed,"" the film directed by Martin Scorsese in 2006.",NO;YES;YES;YES;NO
104,104,Which member of the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005 was Kevin R. Henke most critical of? ,Russell Humphreys,"Kevin R. Henke was most critical of Russell Humphreys, who was a member of the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005."," Kevin R. Henke, a member of the research project between the Creation Research Society and the Institute for Creation Research between 1997 and 2005, was most critical of the theory of evolution, advocating instead for a young-earth creationist perspective.","1. Kevin R. Henke, a researcher involved with the Creation Research Society and the Institute for Creation Research from 1997 to 2005, strongly opposed the theory of evolution, favoring instead a young-earth creationist viewpoint.;2. During his tenure with the Creation Research Society and the Institute for Creation Research, Kevin R. Henke expressed significant criticism towards the theory of evolution, advocating instead for a young-earth creationist stance.;3. As a member of the research project conducted by the Creation Research Society and the Institute for Creation Research from 1997 to 2005, Kevin R. Henke was vocal in his criticism of the theory of evolution, advocating instead for a young-earth creationist approach.;4. Kevin R. Henke, a researcher associated with the Creation Research Society and the Institute for Creation Research from 1997 to 2005, was known for his criticism of the theory of evolution, advocating instead for a young-earth creationist standpoint.;5. The theory of evolution was the subject of Kevin R. Henke's criticism during his involvement with the Creation Research Society and the Institute for Creation Research from 1997 to 2005, as he advocated for a young-earth creationist perspective instead.",YES;YES;YES;YES;YES,"1. Kevin R. Henke, a member of the research project between the Creation Research Society and the Institute for Creation Research between 1997 and 2005, was not most critical of the young-earth creationist perspective.;2. The theory of evolution was not the perspective that Kevin R. Henke, a member of the research project between the Creation Research Society and the Institute for Creation Research between 1997 and 2005, was most critical of.;3. Kevin R. Henke, a member of the research project between the Creation Research Society and the Institute for Creation Research between 1997 and 2005, did not advocate for a young-earth creationist perspective.;4. The perspective that Kevin R. Henke, a member of the research project between the Creation Research Society and the Institute for Creation Research between 1997 and 2005, was most critical of was not a creationist perspective.;5. Kevin R. Henke, a member of the research project between the Creation Research Society and the Institute for Creation Research between 1997 and 2005, did not express criticism towards the young-earth creationist perspective.",NO;NO;NO;NOT SURE;NOT SURE
