,Unnamed: 0,Questions,Answers,extended_answer,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score
221,221,"What Congressional district featured Republican nomiee Willie Vaden in 2004, 2006, and 2008?",Texas's 27th congressional district,"The Congressional district that featured Republican nominee Willie Vaden in 2004, 2006, and 2008 was Texas's 27th congressional district.","Republican nominee Willie Vaden ran in Tennessee's 9th Congressional District in the years 2004, 2006, and 2008.","The Congressional district that featured Republican nominee Willie Vaden in 2004, 2006, and 2008 was Tennessee's 9th Congressional District.;Willie Vaden was the Republican nominee for Tennessee's 9th Congressional District in 2004, 2006, and 2008.;Willie Vaden was the Republican nominee for Missouri's 1st Congressional District in 2004, 2006, and 2008.;The 9th Congressional District of Tennessee featured Republican nominee Willie Vaden in 2004, 2006, and 2008.;Willie Vaden was the Republican nominee for Tennessee's 9th Congressional District in 2004, 2006, and 2008.;The 9th Congressional District of Tennessee featured Republican nominee Willie Vaden in 2004, 2006, and 2008.;Willie Vaden was the Republican nominee for Tennessee's 9th Congressional District in 2004, 2006, and 2008.;Willie Vaden was the Republican nominee for Tennessee's 9th Congressional District in 2004, 2006, and 2008.;Willie Vaden was the Republican nominee for Tennessee's 9th Congressional District in 2004, 2006, and 2008.;Republican nominee Willie Vaden ran in Tennessee's 9th Congressional District in the years 2004, 2006, and 2008.","1. Willie Vaden, the Republican nominee, contested in Tennessee's 9th Congressional District during the 2004, 2006, and 2008 elections.;2. In the years 2004, 2006, and 2008, Tennessee's 9th Congressional District saw Willie Vaden as the Republican nominee.;3. The Republican candidate for Tennessee's 9th Congressional District in 2004, 2006, and 2008 was Willie Vaden.;4. Tennessee's 9th Congressional District had Willie Vaden as the Republican nominee in the elections of 2004, 2006, and 2008.;5. During the 2004, 2006, and 2008 election cycles, Willie Vaden represented the Republican Party in Tennessee's 9th Congressional District.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,"1. Republican nominee Willie Vaden did not run in Tennessee's 9th Congressional District in the years 2004, 2006, and 2008.;2. Willie Vaden was not the Republican nominee in Tennessee's 9th Congressional District in 2004, 2006, and 2008.;3. Tennessee's 9th Congressional District did not feature Republican nominee Willie Vaden in 2004, 2006, and 2008.;4. In the years 2004, 2006, and 2008, Willie Vaden did not run as the Republican nominee in Tennessee's 9th Congressional District.;5. The Republican nominee for Tennessee's 9th Congressional District in 2004, 2006, and 2008 was not Willie Vaden.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.1
222,222,"What's the familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan?",PET,"The familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan, is PET.",The familiar short name of Polyethylene terephthalate is PET.,"The familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan, is PET.;The familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan, is PET.;The familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan, is PET.;The familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan, is PET.;The familiar short name of Polyethylene terephthalate is PET.;The familiar short name of Polyethylene terephthalate is PET.;The familiar short name of Polyethylene terephthalate is PET.;The familiar short name of Polyethylene terephthalate is PET.;The familiar short name of Polyethylene terephthalate, used by bottle makers like Ecopack of Pakistan, is PET.;The familiar short name of Polyethylene terephthalate is PET.","1. PET is the common abbreviation for Polyethylene terephthalate, used by bottle manufacturers like Ecopack of Pakistan.;2. The material known as Polyethylene terephthalate is often referred to as PET by companies such as Ecopack of Pakistan.;3. Bottle makers, including Ecopack of Pakistan, commonly use the short name PET for Polyethylene terephthalate.;4. In the industry, Polyethylene terephthalate is familiarly called PET, as used by Ecopack of Pakistan.;5. Ecopack of Pakistan and other bottle manufacturers typically refer to Polyethylene terephthalate as PET.",YES;YES;YES;YES;YES,1. The familiar short name of Polyethylene terephthalate is not PET.;2. PET is not the familiar short name of Polyethylene terephthalate.;3. Polyethylene terephthalate is not familiarly known as PET.;4. Bottle makers such as Ecopack of Pakistan do not use the short name PET for Polyethylene terephthalate.;5. PET is not used as a familiar short name for Polyethylene terephthalate by bottle makers.,NO;NO;NO;NOT SURE;NO,0.0
223,223,"How is Christopher Buckley related to the founder of ""National Review"" magazine?",son,"Christopher Buckley is the son of the founder of ""National Review"" magazine.","Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.","Christopher Buckley is the son of William F. Buckley Jr., who founded ""National Review"" magazine.;Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.;Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.;Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.;Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.;Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.;Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.;Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.;Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.;Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.","1. Christopher Buckley is the offspring of William F. Buckley Jr., who founded ""National Review"" magazine.;2. The founder of ""National Review"" magazine, William F. Buckley Jr., is the father of Christopher Buckley.;3. William F. Buckley Jr., the creator of ""National Review"" magazine, is Christopher Buckley's father.;4. Christopher Buckley is the child of William F. Buckley Jr., the originator of ""National Review"" magazine.;5. The person who established ""National Review"" magazine, William F. Buckley Jr., is Christopher Buckley's parent.",YES;YES;YES;YES;YES,"1. Christopher Buckley is not the son of William F. Buckley Jr., the founder of ""National Review"" magazine.;2. William F. Buckley Jr., the founder of ""National Review"" magazine, is not the father of Christopher Buckley.;3. Christopher Buckley is not related to William F. Buckley Jr., the founder of ""National Review"" magazine.;4. The founder of ""National Review"" magazine is not William F. Buckley Jr., the father of Christopher Buckley.;5. Christopher Buckley is not the child of the founder of ""National Review"" magazine, William F. Buckley Jr.",NO;NO;NO;NO;NO,0.0
224,224,In what type of imprisonment where the inmates Arne Berge helped rescue during operation White Buses?,concentration camp,Arne Berge helped rescue inmates from a concentration camp during operation White Buses.,The inmates Arne Berge helped rescue during Operation White Buses were primarily imprisoned in Nazi concentration camps.,"During Operation White Buses, Arne Berge helped rescue inmates who were imprisoned in Nazi concentration camps.;The inmates Arne Berge helped rescue during Operation White Buses were imprisoned in Nazi concentration camps.;The inmates Arne Berge helped rescue during Operation White Buses were primarily imprisoned in Nazi concentration camps.;During Operation White Buses, the inmates Arne Berge helped rescue were imprisoned in Nazi concentration camps.;Arne Berge helped rescue inmates who were imprisoned in Nazi concentration camps during Operation White Buses.;The inmates Arne Berge helped rescue during Operation White Buses were imprisoned in Nazi concentration camps during World War II.;During Operation White Buses, the inmates Arne Berge helped rescue were imprisoned in Nazi concentration camps.;During Operation White Buses, Arne Berge helped rescue inmates who were imprisoned in Nazi concentration camps.;During Operation White Buses, the inmates Arne Berge helped rescue were imprisoned in Nazi concentration camps.;The inmates Arne Berge helped rescue during Operation White Buses were primarily imprisoned in Nazi concentration camps.","1. The inmates Arne Berge helped rescue during Operation White Buses were mainly held in Nazi concentration camps.;2. During Operation White Buses, Arne Berge assisted in rescuing inmates who were chiefly confined in Nazi concentration camps.;3. The individuals Arne Berge aided in rescuing during Operation White Buses were predominantly imprisoned in Nazi concentration camps.;4. Arne Berge's rescue efforts during Operation White Buses focused on inmates who were primarily detained in Nazi concentration camps.;5. The prisoners Arne Berge helped save during Operation White Buses were mostly incarcerated in Nazi concentration camps.",YES;NOT SURE;YES;YES;YES,"1. The inmates Arne Berge helped rescue during Operation White Buses were not primarily imprisoned in Nazi concentration camps.;2. The inmates Arne Berge helped rescue during Operation White Buses were primarily imprisoned in places other than Nazi concentration camps.;3. Arne Berge did not help rescue inmates primarily imprisoned in Nazi concentration camps during Operation White Buses.;4. During Operation White Buses, the inmates Arne Berge helped rescue were not primarily held in Nazi concentration camps.;5. The primary imprisonment location of the inmates Arne Berge helped rescue during Operation White Buses was not Nazi concentration camps.",NO;NO;NOT SURE;NO;NO,0.0
225,225,"What city, located in Lincoln County, Montana, United States, is Vegepet based in?","Troy, Montana","Vegepet is based in Troy, Montana, a city located in Lincoln County, Montana, United States.","Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.","Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.;Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.;Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.;Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.;Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.;Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.;Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.;Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.;Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.;Vegepet is based in the city of Libby, located in Lincoln County, Montana, United States.","1. The city of Libby, situated in Lincoln County, Montana, United States, is where Vegepet is based.;2. Vegepet's base of operations is in Libby, a city in Lincoln County, Montana, United States.;3. Located in Lincoln County, Montana, United States, the city of Libby is home to Vegepet.;4. Vegepet operates out of Libby, a city found in Lincoln County, Montana, United States.;5. In Lincoln County, Montana, United States, Vegepet is headquartered in the city of Libby.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,"1. Vegepet is not based in the city of Libby, located in Lincoln County, Montana, United States.;2. The city of Libby, located in Lincoln County, Montana, United States, is not where Vegepet is based.;3. Vegepet is not located in the city of Libby, Lincoln County, Montana, United States.;4. Libby, located in Lincoln County, Montana, United States, is not the city where Vegepet is based.;5. Vegepet is based in a city other than Libby, located in Lincoln County, Montana, United States.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.0
226,226,J. Searle Dawley and Ken Annakin were both directors of what?,"Kenneth Cooper ""Ken"" Annakin, OBE (10 August 1914 - 22 April 2009) was a prolific English film director.",J. Searle Dawley and Ken Annakin were both directors of films.,"J. Searle Dawley and Ken Annakin were both directors of films, with Dawley known for early silent films like ""Frankenstein"" (1910) and Annakin known for works such as ""The Longest Day"" (1962).","J. Searle Dawley and Ken Annakin were both directors of films.;J. Searle Dawley and Ken Annakin were both directors of films.;J. Searle Dawley and Ken Annakin were both directors of films, with Dawley known for early silent films like ""Frankenstein"" (1910) and Annakin for works such as ""Those Magnificent Men in Their Flying Machines"" (1965).;J. Searle Dawley and Ken Annakin were both directors of films in the early 20th and mid-20th centuries, respectively.;J. Searle Dawley and Ken Annakin were both directors of films, with Dawley being known for early silent films like ""Frankenstein"" (1910) and Annakin for works such as ""Swiss Family Robinson"" (1960).;J. Searle Dawley and Ken Annakin were both directors of films, with Dawley being known for early silent films and Annakin for mid-20th century British and American cinema.;J. Searle Dawley and Ken Annakin were both directors of films.;J. Searle Dawley and Ken Annakin were both directors of films in the early 20th and mid-20th centuries, respectively.;J. Searle Dawley and Ken Annakin were both directors of films.;J. Searle Dawley and Ken Annakin were both directors of films, with Dawley known for early silent films like ""Frankenstein"" (1910) and Annakin known for works such as ""The Longest Day"" (1962).","1. J. Searle Dawley and Ken Annakin were both directors of films, with Dawley recognized for early silent films like ""Frankenstein"" (1910) and Annakin recognized for works such as ""The Longest Day"" (1962).;2. Both J. Searle Dawley and Ken Annakin directed films, with Dawley notable for early silent films like ""Frankenstein"" (1910) and Annakin notable for works such as ""The Longest Day"" (1962).;3. Films were directed by both J. Searle Dawley and Ken Annakin, with Dawley famous for early silent films like ""Frankenstein"" (1910) and Annakin famous for works such as ""The Longest Day"" (1962).;4. J. Searle Dawley and Ken Annakin shared the role of film directors, with Dawley distinguished for early silent films like ""Frankenstein"" (1910) and Annakin distinguished for works such as ""The Longest Day"" (1962).;5. The realm of film direction included both J. Searle Dawley and Ken Annakin, with Dawley acclaimed for early silent films like ""Frankenstein"" (1910) and Annakin acclaimed for works such as ""The Longest Day"" (1962).",YES;YES;YES;YES;YES,"1. J. Searle Dawley and Ken Annakin were not both directors of films.;2. J. Searle Dawley was not known for early silent films like ""Frankenstein"" (1910).;3. Ken Annakin was not known for works such as ""The Longest Day"" (1962).;4. J. Searle Dawley and Ken Annakin did not direct films.;5. Neither J. Searle Dawley nor Ken Annakin were directors of films.",YES;NO;YES;NO;NO,0.0
227,227,What term is the current chairman of Prince William County serving?,fourth term,The current chairman of Prince William County is serving his fourth term.,"The current chairman of Prince William County, Ann Wheeler, is serving her first term, which began in January 2020.","The current chairman of Prince William County, Ann Wheeler, is serving her first term.;The current chairman of Prince William County, Ann Wheeler, is serving her first term.;The current chairman of Prince William County, Ann Wheeler, is serving her first term.;The current chairman of Prince William County, Ann Wheeler, is serving her first term.;The current chairman of Prince William County, Ann Wheeler, is serving her first term.;The current chairman of Prince William County, Ann Wheeler, is serving her first term.;The current chairman of Prince William County, Ann Wheeler, is serving her first term, which began in January 2020.;The current chairman of Prince William County, Ann Wheeler, is serving her first term.;The current chairman of Prince William County, Ann Wheeler, is serving her first term.;The current chairman of Prince William County, Ann Wheeler, is serving her first term, which began in January 2020.","1. Ann Wheeler, the current chairman of Prince William County, is in her first term, which started in January 2020.;2. Serving her first term since January 2020, Ann Wheeler is the current chairman of Prince William County.;3. The current chairman of Prince William County, Ann Wheeler, commenced her first term in January 2020.;4. Ann Wheeler began her first term as the chairman of Prince William County in January 2020.;5. Since January 2020, Ann Wheeler has been serving her first term as the chairman of Prince William County.",YES;YES;YES;YES;YES,"1. The current chairman of Prince William County, Ann Wheeler, is not serving her first term.;2. Ann Wheeler is not the current chairman of Prince William County.;3. Ann Wheeler's term as chairman of Prince William County did not begin in January 2020.;4. The current chairman of Prince William County is not Ann Wheeler.;5. Ann Wheeler is not serving as the chairman of Prince William County.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.0
228,228,Are Hoodoo Gurus and Pierre Bouvier of the same nationality?,no,"No, Hoodoo Gurus and Pierre Bouvier are not of the same nationality.","Hoodoo Gurus, an Australian rock band, and Pierre Bouvier, the Canadian lead singer of Simple Plan, are not of the same nationality.","Hoodoo Gurus, an Australian rock band, and Pierre Bouvier, a Canadian musician, are not of the same nationality.;Hoodoo Gurus are an Australian rock band, while Pierre Bouvier is a Canadian musician, so they are not of the same nationality.;No, Hoodoo Gurus are an Australian rock band, while Pierre Bouvier is Canadian.;No, Hoodoo Gurus are an Australian rock band, while Pierre Bouvier is Canadian.;No, Hoodoo Gurus are an Australian rock band, while Pierre Bouvier is a Canadian musician.;No, Hoodoo Gurus are an Australian rock band, while Pierre Bouvier is Canadian.;Hoodoo Gurus are an Australian rock band, while Pierre Bouvier is a Canadian musician, so they are not of the same nationality.;Hoodoo Gurus, an Australian rock band, and Pierre Bouvier, the Canadian lead singer of Simple Plan, are not of the same nationality.;Hoodoo Gurus, an Australian rock band, and Pierre Bouvier, the Canadian lead singer of Simple Plan, are not of the same nationality.;Hoodoo Gurus, an Australian rock band, and Pierre Bouvier, the Canadian lead singer of Simple Plan, are not of the same nationality.","1. Hoodoo Gurus, hailing from Australia, and Pierre Bouvier, the Canadian frontman of Simple Plan, do not share the same nationality.;2. The Australian rock band Hoodoo Gurus and Pierre Bouvier, the Canadian vocalist of Simple Plan, are of different nationalities.;3. Hoodoo Gurus, originating from Australia, and Pierre Bouvier, the Canadian lead singer of Simple Plan, have distinct nationalities.;4. The nationality of Hoodoo Gurus, an Australian band, differs from that of Pierre Bouvier, the Canadian lead singer of Simple Plan.;5. Hoodoo Gurus, an Australian rock group, and Pierre Bouvier, the Canadian singer of Simple Plan, are not from the same country.",YES;YES;YES;YES;YES,"1. Hoodoo Gurus and Pierre Bouvier are of the same nationality.;2. Hoodoo Gurus, an Australian rock band, and Pierre Bouvier, the Canadian lead singer of Simple Plan, share the same nationality.;3. Hoodoo Gurus and Pierre Bouvier do not have different nationalities.;4. Hoodoo Gurus and Pierre Bouvier are both from the same country.;5. Hoodoo Gurus and Pierre Bouvier are not from different countries.",NO;NO;NO;NO;NO,0.0
229,229,"What band in the ""Art Wave"" scene is based in Glasgow?",Franz Ferdinand,"Franz Ferdinand, a band in the ""Art Wave"" scene, is based in Glasgow.","The band in the ""Art Wave"" scene based in Glasgow is ""Orange Juice.""","The band ""Simple Minds"" is a prominent group from the ""Art Wave"" scene based in Glasgow.;The band ""Simple Minds"" is a notable group from Glasgow that emerged from the ""Art Wave"" scene.;The band ""The Associates"" is a notable group from the ""Art Wave"" scene based in Glasgow.;The band in the ""Art Wave"" scene based in Glasgow is Orange Juice.;The band ""Simple Minds"" is a notable group from Glasgow that emerged from the ""Art Wave"" scene.;The band ""The Blue Nile"" is based in Glasgow and is associated with the ""Art Wave"" scene.;The band in the ""Art Wave"" scene based in Glasgow is Orange Juice.;The band in the ""Art Wave"" scene based in Glasgow is Franz Ferdinand.;The band ""Simple Minds"" is a notable group from the ""Art Wave"" scene based in Glasgow.;The band in the ""Art Wave"" scene based in Glasgow is ""Orange Juice.""","1. ""Orange Juice"" is the band from Glasgow in the ""Art Wave"" scene.;2. In the ""Art Wave"" scene, the band based in Glasgow is ""Orange Juice."";3. Glasgow's contribution to the ""Art Wave"" scene is the band ""Orange Juice."";4. The ""Art Wave"" band originating from Glasgow is ""Orange Juice."";5. ""Orange Juice"" represents Glasgow in the ""Art Wave"" music scene.",YES;YES;NOT SURE;NOT SURE;NOT SURE,"1. The band in the ""Art Wave"" scene based in Glasgow is not ""Orange Juice."";2. ""Orange Juice"" is not the band in the ""Art Wave"" scene based in Glasgow.;3. The ""Art Wave"" scene in Glasgow does not include the band ""Orange Juice."";4. ""Orange Juice"" is not based in Glasgow in the ""Art Wave"" scene.;5. The band based in Glasgow in the ""Art Wave"" scene is not ""Orange Juice.""",NOT SURE;NOT SURE;NOT SURE;YES;NOT SURE,0.7
230,230,Pashto is the main language among a diaspora that has it's largest community in which country ?,Pakistan,The largest community of the Pashto diaspora is in Pakistan.,Pashto is the main language among a diaspora that has its largest community in Pakistan.,Pashto is the main language among a diaspora that has its largest community in Pakistan.;Pashto is the main language among a diaspora that has its largest community in Pakistan.;Pashto is the main language among a diaspora that has its largest community in Pakistan.;Pashto is the main language among a diaspora that has its largest community in Pakistan.;Pashto is the main language among a diaspora that has its largest community in Pakistan.;Pashto is the main language among a diaspora that has its largest community in Pakistan.;Pashto is the main language among a diaspora that has its largest community in Pakistan.;Pashto is the main language among a diaspora that has its largest community in Pakistan.;Pashto is the main language among a diaspora that has its largest community in Pakistan.;Pashto is the main language among a diaspora that has its largest community in Pakistan.,"1. Pashto is the primary language spoken by a diaspora whose largest community resides in Pakistan.;2. Among a diaspora, Pashto is the main language, with the largest community located in Pakistan.;3. The largest community of a diaspora that speaks Pashto as its main language is found in Pakistan.;4. Pakistan hosts the largest community of a diaspora where Pashto is the predominant language.;5. The main language of a diaspora, which has its largest community in Pakistan, is Pashto.",NO;NOT SURE;YES;NOT SURE;NOT SURE,1. Pashto is not the main language among a diaspora that has its largest community in Pakistan.;2. Pashto is the main language among a diaspora that does not have its largest community in Pakistan.;3. The largest community of the Pashto-speaking diaspora is not in Pakistan.;4. Pakistan does not have the largest community of the Pashto-speaking diaspora.;5. The main language among a diaspora with its largest community in Pakistan is not Pashto.,YES;NOT SURE;NO;YES;NOT SURE,0.0
231,231,"Which is the Oil Capital of China, Chaoyang District, Shantou, or Daqing?",Daqing,Daqing is the Oil Capital of China.,Daqing is known as the Oil Capital of China due to its significant oil reserves and production.,Daqing is considered the Oil Capital of China.;Daqing is known as the Oil Capital of China.;Daqing is considered the Oil Capital of China due to its significant oil reserves and production.;Daqing is known as the Oil Capital of China.;Daqing is known as the Oil Capital of China.;Daqing is known as the Oil Capital of China.;Daqing is considered the Oil Capital of China due to its significant oil reserves and production facilities.;Daqing is known as the Oil Capital of China.;Daqing is known as the Oil Capital of China.;Daqing is known as the Oil Capital of China due to its significant oil reserves and production.,"1. Daqing is recognized as the Oil Capital of China because of its substantial oil reserves and output.;2. Due to its considerable oil reserves and production, Daqing is referred to as the Oil Capital of China.;3. The city of Daqing is dubbed the Oil Capital of China owing to its significant oil reserves and production.;4. Daqing holds the title of the Oil Capital of China thanks to its extensive oil reserves and production.;5. Known for its significant oil reserves and production, Daqing is called the Oil Capital of China.",YES;YES;YES;YES;YES,"1. Daqing is not known as the Oil Capital of China due to its significant oil reserves and production.;2. The Oil Capital of China is not Daqing.;3. Daqing does not have significant oil reserves and production, making it the Oil Capital of China.;4. Chaoyang District or Shantou, not Daqing, is known as the Oil Capital of China.;5. Daqing is not recognized for its significant oil reserves and production as the Oil Capital of China.",NO;NO;NO;NO;NO,0.0
232,232,Are both the Wire Fox Terrier and West Siberian Laika dog breeds?,yes,"Yes, both the Wire Fox Terrier and West Siberian Laika are dog breeds.",Both the Wire Fox Terrier and West Siberian Laika are recognized dog breeds.,Both the Wire Fox Terrier and West Siberian Laika are indeed recognized dog breeds.;Both the Wire Fox Terrier and West Siberian Laika are indeed recognized dog breeds.;Both the Wire Fox Terrier and West Siberian Laika are indeed recognized dog breeds.;Both the Wire Fox Terrier and West Siberian Laika are indeed recognized dog breeds.;Both the Wire Fox Terrier and West Siberian Laika are recognized dog breeds.;Both the Wire Fox Terrier and West Siberian Laika are indeed recognized dog breeds.;Both the Wire Fox Terrier and West Siberian Laika are indeed recognized dog breeds.;Both the Wire Fox Terrier and West Siberian Laika are indeed recognized dog breeds.;Both the Wire Fox Terrier and the West Siberian Laika are recognized dog breeds.;Both the Wire Fox Terrier and West Siberian Laika are recognized dog breeds.,1. The Wire Fox Terrier and West Siberian Laika are both acknowledged as dog breeds.;2. Both the Wire Fox Terrier and West Siberian Laika are officially classified as dog breeds.;3. The Wire Fox Terrier and West Siberian Laika are each identified as dog breeds.;4. Both the Wire Fox Terrier and West Siberian Laika are established dog breeds.;5. The Wire Fox Terrier and West Siberian Laika are recognized as dog breeds.,YES;YES;YES;YES;YES,"1. Both the Wire Fox Terrier and West Siberian Laika are not recognized dog breeds.;2. The Wire Fox Terrier and West Siberian Laika are not both recognized dog breeds.;3. Neither the Wire Fox Terrier nor the West Siberian Laika are recognized dog breeds.;4. The Wire Fox Terrier is not a recognized dog breed, and neither is the West Siberian Laika.;5. The West Siberian Laika and Wire Fox Terrier are not recognized dog breeds.",NO;NO;NO;NO;NO,0.0
233,233,"The NG postcode area is situated approximately how many miles from Gamston, Rushcliffe?",approximately 3 mi,"The NG postcode area is situated approximately 3 miles from Gamston, Rushcliffe.","The NG postcode area is situated approximately 3 to 5 miles from Gamston, Rushcliffe.","The NG postcode area, which includes Nottingham, is situated approximately 4 to 5 miles from Gamston, Rushcliffe.;The NG postcode area is situated approximately 3 miles from Gamston, Rushcliffe.;The NG postcode area, which includes Nottingham, is situated approximately 3 to 4 miles from Gamston, Rushcliffe.;The NG postcode area, which includes Nottingham, is situated approximately 4 miles from Gamston, Rushcliffe.;The NG postcode area is situated approximately 4 miles from Gamston, Rushcliffe.;The NG postcode area, which includes Nottingham, is situated approximately 5 miles from Gamston, Rushcliffe.;The NG postcode area, which includes Nottingham, is situated approximately 4 miles from Gamston, Rushcliffe.;The NG postcode area is situated approximately 1 to 2 miles from Gamston, Rushcliffe.;The NG postcode area, which includes Nottingham, is situated approximately 3 to 4 miles from Gamston, Rushcliffe.;The NG postcode area is situated approximately 3 to 5 miles from Gamston, Rushcliffe.","1. The NG postcode area is located roughly 3 to 5 miles away from Gamston, Rushcliffe.;2. Gamston, Rushcliffe is approximately 3 to 5 miles distant from the NG postcode area.;3. The distance between the NG postcode area and Gamston, Rushcliffe is about 3 to 5 miles.;4. From Gamston, Rushcliffe, the NG postcode area is situated at an approximate distance of 3 to 5 miles.;5. The NG postcode area lies around 3 to 5 miles from Gamston, Rushcliffe.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,"1. The NG postcode area is not situated approximately 3 to 5 miles from Gamston, Rushcliffe.;2. The NG postcode area is situated more than 5 miles from Gamston, Rushcliffe.;3. The NG postcode area is situated less than 3 miles from Gamston, Rushcliffe.;4. The NG postcode area is not situated within 3 to 5 miles from Gamston, Rushcliffe.;5. Gamston, Rushcliffe is not approximately 3 to 5 miles from the NG postcode area.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.8
234,234,Which British racing driver has raced for 7 different teams and won the European Grand Prix in 1999?,Johnny Herbert,"Johnny Herbert, the British racing driver who has raced for 7 different teams, won the European Grand Prix in 1999.",The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.,The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.;The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.;The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.;The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.;The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.;The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.;The British racing driver who raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.;The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.;The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.;The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is Johnny Herbert.,"1. Johnny Herbert is the British racing driver who has competed for 7 different teams and clinched the European Grand Prix in 1999.;2. The British racing driver known for racing with 7 different teams and winning the European Grand Prix in 1999 is Johnny Herbert.;3. In 1999, Johnny Herbert, a British racing driver, won the European Grand Prix and has raced for 7 different teams.;4. The European Grand Prix in 1999 was won by Johnny Herbert, a British racing driver who has been part of 7 different teams.;5. Johnny Herbert, who has driven for 7 different teams, is the British racing driver who won the European Grand Prix in 1999.",YES;YES;YES;YES;YES,"1. The British racing driver who has raced for 7 different teams and won the European Grand Prix in 1999 is not Johnny Herbert.;2. Johnny Herbert did not race for 7 different teams and win the European Grand Prix in 1999.;3. The British racing driver who won the European Grand Prix in 1999 and raced for 7 different teams is not Johnny Herbert.;4. Johnny Herbert is not the British racing driver who won the European Grand Prix in 1999 and raced for 7 different teams.;5. The European Grand Prix in 1999 was not won by Johnny Herbert, who raced for 7 different teams.",NOT SURE;NO;YES;NO;NO,0.0
